Track name,Artist name,Album,Playlist name,Type,ISRC
"Streets of Minneapolis","Bruce Springsteen","","Classics","Playlist",""
"Surrender Your Love (MK Radio Edit)","Nightcrawlers","Let's Push It","Classics","Playlist","GBARK9500008"
"Atlantic City (Live at Warner Hollywood Studios, Los Angeles, CA - September 1992)","Bruce Springsteen","In Concert/MTV Plugged (Live)","@KevMc-ci1z","Playlist","USSM19302996"
"Atlantic City (Live at Warner Hollywood Studios, Los Angeles, CA - September 1992)","Bruce Springsteen","In Concert/MTV Plugged (Live)","@KevMc-ci1z","Playlist","USSM19302996"
"Streets of Minneapolis","Bruce Springsteen","","dad's and Katie's music","Playlist",""
"Heaven Can Wait","Meat Loaf","Bat Out Of Hell","dad's and Katie's music","Playlist","USSM11206826"
"Dead or Alive [2022 Remaster] (Live at The Summit, Houston, Texas, November 6, 1981)","Journey","Live In Houston 1981: The Escape Tour (2022 Remaster)","dad's and Katie's music","Playlist","USSM10505570"
"Chimes of Freedom (Live in Manchester, May 14, 2025)","Bruce Springsteen","Land Of Hope & Dreams","dad's and Katie's music","Playlist","USSM12502270"
"Summer of 69 (Live At The Royal Albert Hall 2024)","Bryan Adams","Reckless (Live At The Royal Albert Hall 2024)","dad's and Katie's music","Playlist","IETLH2400065"
"Glory of Love","Peter Cetera","Solitude / Solitaire","dad's and Katie's music","Playlist","USWB10000619"
"The Edge Of Glory","Lady Gaga","Born This Way (International Special Edition Version)","dad's and Katie's music","Playlist","USUM71106458"
"Don’t You (Forget About Me)","Simple Minds","","live concerts","Playlist","GBAAA8500001"
"The Contender","Tommy Fleming","Voice of Hope II","live concerts","Playlist","IEDUU1800003"
"Atlantic City (Live at Warner Hollywood Studios, Los Angeles, CA - September 1992)","Bruce Springsteen","In Concert/MTV Plugged (Live)","live concerts","Playlist","USSM19302996"
"Atlantic City (Live at Warner Hollywood Studios, Los Angeles, CA - September 1992)","Bruce Springsteen","In Concert/MTV Plugged (Live)","live concerts","Playlist","USSM19302996"
"Streets of Minneapolis","Bruce Springsteen","","Springsteen live","Playlist",""
"Song For Whoever (Single Version)","The Beautiful South","Carry On Up The Charts - The Best Of The Beautiful South","Classic","Playlist","GBAQT8900001"
"Caravan of Love","The Housemartins","Caravan of Love","Classic","Playlist","USRH11803100"
"Atlantic City (Live at Warner Hollywood Studios, Los Angeles, CA - September 1992)","Bruce Springsteen","In Concert/MTV Plugged (Live)","Classic","Playlist","USSM19302996"
"Atlantic City (Live at Warner Hollywood Studios, Los Angeles, CA - September 1992)","Bruce Springsteen","In Concert/MTV Plugged (Live)","Classic","Playlist","USSM19302996"
"Atlantic City (Live at Warner Hollywood Studios, Los Angeles, CA - September 1992)","Bruce Springsteen","In Concert/MTV Plugged (Live)","Classic","Playlist","USSM19302996"
"Atlantic City (Live at Warner Hollywood Studios, Los Angeles, CA - September 1992)","Bruce Springsteen","In Concert/MTV Plugged (Live)","Classic","Playlist","USSM19302996"
